keywords,organization_name,website,mission_description,population_focus,time_commitment,cost,languages_courses,address,city,state,zip,locations,leadership_contact,title,email,phone_number,when_founded
"Adult learning, online, web development",phpacademy,https://phpacademy.org/,Phpacademy is a community-based site working to educate the world on web development. It provides training through videos and forums.,Various skill levels,Self-paced,Free,"PHP, MySQL, JavaScript/jQuery, Java, CSS, Server, HTML5, CodeIgniter, etc.",,,,,N/A,,,hello@phpacademy.org,,
"Youth learning, in-person, game development, mobile, camps, workshops",Pixel Academy,http://www.pixelacademy.org/,"The Pixel Academy is a community of kids and teens that are passionate about learning 21st Century Skills. Members get access to thousands of dollars worth of state of the art technology, from virtual reality goggles and 3D Printers to self-teaching guitars and digital drums. Assisted by our expert staff, Pixel members are able to explore and master new and relevant subjects that traditional schools aren't able to provide like Video Game Design, 3D Printing, Arduino Programming, App Development, Film Making, Music Writing, and so much more.",Mostly ages 7-12,,,,163 Pacific St.,Brookyln,NY,11201,"Brooklyn, NY",,,workshops@pixelacademy.org,(866) 771-6837,2012
"Youth learning, in-person, summer, camps, school-based, curriculum, afterschool, robotics, game development, mobile, teacher development",Planet Bravo,http://www.planetbravo.com/,"PlanetBravo is currently the largest computer and technology Summer Camp in Los Angeles, as well as a provider of in-school computer instruction and after-school enrichment courses. PlanetBravo partners with software companies, schools, and recreation centers in the greater Los Angeles area to offer day time classes, 1-on-1 professional development training, and summer camps focused on new media technologies. ",,,Fee per course,Various,1105 Gayley Ave. ,Los Angeles,CA,90024,"Planet Bravo, CA",,,info@planetbravo.com,(310) 443-7607,2003
"Adult learning, online, web development, mobile",Pluralsight,http://www.pluralsight.com/,"Pluralsight is a Utah-based company that provides computer programming training.  They provide services for individuals, businesses, and academic institutions. Pluralsight is the global leader in high-quality online training for hardcore developers. The revolutionary Pluralsight training library provides developers with instant access to a rich collection of online training courses delivered by industry authorities. Pluralsight offers education grants, providing institutions and teachers with access for students to a first-in-class learning experience, on-demand, in the classroom or at home. ","Kindergarten - adult, individuals, businesses, academic institutions",Self-paced,Individual packages start at $29/month and go to $499/year.,Wide variety of developer languages,,,,,N/A,,,,,2004
"Adult learning, in-person, bootcamps, mobile, Australia",Polycademy,http://polycademy.com,"Australia-based Polycademy is an academy for web application entrepreneurship. They help aspiring tech entrepreneurs and people looking to change their career, to build their dream app by teaching them how to do it in 11 weeks.  They're also integrated with Code for Australia (http://codeforaustralia.com.au) and PHP Bounce (http://phpbounce.aws.af.cm)",Various skill levels,11 weeks,"AUD $4899 up front, AUD $459/week. If you are applying to the Code for Australia program, your tuition may be seriously discounted or be completely Free.","PHP, JavaScript",,,,,"Canberra, Australia",,,enquiry@polycademy.com,(61042) 092-5975,2012
"Adult learning, in-person, bootcamp",Portland Code School,http://portlandcodeschool.com/,The Portland Code School is an intensive 12-week course focused on teaching the essential skills necessary to begin working as a junior programmer upon graduation. The Portland Code School runs 12-week sessions three times a year. ,"Full Stack JavaScript programs - one track is Immersion style over 12 weeks, and another is a part-time evening track over 16 weeks. Also offer iOS, Ruby on Rails, and advanced seminar courses upon demand.",12 weeks,"Full Stack JavaScript Immersion class is $7,995 and Full Stack JavaScript Evening class is $4,995. Financing available through partnership with The CLIMB Credit Co., and scholarship opportunities may be available for eligible candidates through Work Source.","HTML, CSS, JS, Forms, Ruby, etc.",735 SW 20th Place,Portland,OR,,"Portland, OR",Cris Kelly,Director,info@portlandcodeschool.com,(503) 308-9030; (866) 863-7365,2012
"Youth learning, parent resources, teacher resources, platform, network, programming, game development",PowerMyLearning (by CFY),http://cfy.org/; http://powermylearning.org/,"CFY is a national nonprofit organization that helps students, teachers, and parents use digital learning to improve educational outcomes. Its free PowerMyLearning.org platform provides innovative tools and thousands of engaging curated K-12 activities to inspire and drive student learning. Available courses include computer programming, 3D programming, and game design, among other subjects.",K-12,Self-paced,Free,"Math, Language Arts, Science, Social Studies, Art & Music, Technology (computer programming, computer research, productivity), World languages",400 Mitchell Lane,Palo Alto,CA,94301,"New York, NY; Los Angeles, CA; Atlanta, GA; San Francisco bay area, CA; Philadelphia, PA",,,CFY-SFBay@cfy.org; http://powermylearning.org/support,(415) 683-3123,2010
"Software/app, tool, open source, programming language, online community",Processing,http://processing.org/about/,"Processing is a programming language, development environment, and online community that, since 2001, has promoted software literacy within the visual arts. Initially created to serve as a software sketchbook and to teach fundamentals of computer programming within a visual context, Processing quickly developed into a tool for creating finished professional work as well. Processing is used in classrooms worldwide, often in art schools and visual arts programs in universities, but it's also found frequently in high schools, computer science programs, and humanities curricula. ",Anyone,N/A,Free,Processing,,,,,N/A,,,foundation@processing.org,,2001
"Youth learning, in-person, teacher development, summer, workshops, chapter-based",Program by Design,http://www.programbydesign.org/,"Program by Design (nonprofit) provides a free summer workshop series for teachers.  The workshops are intended for middle-school and high-school math and computing teachers, and for college and university faculty interested in introductory computing education.","Ages 13+, teachers",,Free,Beginning programming (functional + test-driven),,,,,National,"Stephen Bloch (Adelphi), John Clements (Cal Poly), Matthias Felleisen - Lead (Northeastern), Robby Findler (Northwestern), Kathi Fisler (WPI), Matthew Flatt (Utah), Viera Proulx (Northeastern), and Shriram Krishnamurthi (Brown), and our students.",,matthias@ccs.neu.edu,,
"Youth learning, girls, middle school, in-person, club, summer program, AspireIT",Programming4Girls' Alice Workshop for Girls,http://programming4girls.com/the_alice_workshop.html,"Programming4Girls hopes to introduce information technology to girls and promote an interest in computing among young women. With Alice Workshops for Girls, sisters Aleis and Dana Murphy offer two-week camps on Alice programming in summer. The first week is targeted to beginners while the second is for intermediate programmers who are either returning from previous summers or who are excited enough to continue on for a second session.","Middle school girls, beginning & intermediate programmers",two weeks,$250,Alice,,,,,"Greensboro, NC",Thomas Espinola,Guilford College,info@programming4girls.com; tespinol@guilford.edu,(336) 316-2193,2011
